Country,Number of articles
United States,5133
Japan,1313
Germany,848
France,701
Italy,518
Canada,452
China,421
United Kingdom,407
South Korea,357
Netherlands,278
Taiwan,178
Austria,175
Spain,169
Sweden,163
Australia,152
Switzerland,119
Turkey,117
India,117
Belgium,110
Czech Republic,81
Denmark,59
Mexico,59
Norway,58
Brazil,52
Greece,49
Hungary,49
Poland,37
Israel,34
Finland,29
Russian Federation,25
Iran,20
Egypt,19
Singapore,18
Hong Kong,18
Thailand,17
Portugal,10
Ireland,9
Malaysia,9
Argentina,8
Croatia,8
Slovakia,7
Chile,7
Morocco,7
New Zealand,7
South Africa,6
Saudi Arabia,5
Pakistan,5
Slovenia,4
Romania,4
Cuba,4
Lithuania,3
Lebanon,3
Tunisia,3
Bosnia and Herzegovina,2
Puerto Rico,2
Oman,2
Serbia,2
Costa Rica,1
Venezuela,1
Nigeria,1
Bangladesh,1
Jordan,1
Ukraine,1
Philippines,1
Latvia,1
Russia,1
Albania,1
United Arab Emirates,1
Viet Nam,1
Iceland,1
Cyprus,1
